District,Crop,Date,Price
Anantapur,Paddy,01-01-2024,1864.6
Anantapur,Paddy,02-01-2024,1889.79
Anantapur,Paddy,03-01-2024,1863.72
Anantapur,Paddy,04-01-2024,1886.59
Anantapur,Paddy,05-01-2024,1840.59
Anantapur,Paddy,06-01-2024,1927.1
Anantapur,Paddy,07-01-2024,1832.78
Anantapur,Paddy,08-01-2024,1882.97
Anantapur,Paddy,09-01-2024,1924.0
Anantapur,Paddy,10-01-2024,1844.81
Anantapur,Paddy,11-01-2024,1851.73
Anantapur,Paddy,12-01-2024,1922.7
Anantapur,Paddy,13-01-2024,1856.14
Anantapur,Paddy,14-01-2024,1884.74
Anantapur,Paddy,15-01-2024,1933.82
Anantapur,Paddy,16-01-2024,1904.43
Anantapur,Paddy,17-01-2024,1951.94
Anantapur,Paddy,18-01-2024,1949.78
Anantapur,Paddy,19-01-2024,1943.0
Anantapur,Paddy,20-01-2024,1945.12
Anantapur,Paddy,21-01-2024,1927.75
Anantapur,Paddy,22-01-2024,1964.68
Anantapur,Paddy,23-01-2024,1963.05
Anantapur,Paddy,24-01-2024,1953.99
Anantapur,Paddy,25-01-2024,1945.57
Anantapur,Paddy,26-01-2024,2009.45
Anantapur,Paddy,27-01-2024,2012.06
Anantapur,Paddy,28-01-2024,1928.95
Anantapur,Paddy,29-01-2024,2029.02
Anantapur,Paddy,30-01-2024,2006.3
Anantapur,Paddy,31-01-2024,1935.74
Anantapur,Paddy,01-02-2024,1968.27
Anantapur,Paddy,02-02-2024,1974.06
Anantapur,Paddy,03-02-2024,1949.63
Anantapur,Paddy,04-02-2024,1988.06
Anantapur,Paddy,05-02-2024,2057.53
Anantapur,Paddy,06-02-2024,2008.23
Anantapur,Paddy,07-02-2024,2042.09
Anantapur,Paddy,08-02-2024,1983.85
Anantapur,Paddy,09-02-2024,2012.96
Anantapur,Paddy,10-02-2024,2044.95
Anantapur,Paddy,11-02-2024,1980.44
Anantapur,Paddy,12-02-2024,2082.19
Anantapur,Paddy,13-02-2024,1985.02
Anantapur,Paddy,14-02-2024,2076.47
Anantapur,Paddy,15-02-2024,2025.3
Anantapur,Paddy,16-02-2024,2089.75
Anantapur,Paddy,17-02-2024,2070.36
Anantapur,Paddy,18-02-2024,2031.13
Anantapur,Paddy,19-02-2024,2066.12
Anantapur,Paddy,20-02-2024,2063.4
Anantapur,Paddy,21-02-2024,2092.06
Anantapur,Paddy,22-02-2024,2089.06
Anantapur,Paddy,23-02-2024,2051.97
Anantapur,Paddy,24-02-2024,2099.16
Anantapur,Paddy,25-02-2024,2029.3
Anantapur,Paddy,26-02-2024,2031.37
Anantapur,Paddy,27-02-2024,2052.39
Anantapur,Paddy,28-02-2024,2090.22
Anantapur,Paddy,29-02-2024,2049.01
Anantapur,Paddy,01-03-2024,2123.19
Anantapur,Paddy,02-03-2024,2068.17
Anantapur,Paddy,03-03-2024,2083.78
Anantapur,Paddy,04-03-2024,2131.79
Anantapur,Paddy,05-03-2024,2057.45
Anantapur,Paddy,06-03-2024,2115.82
Anantapur,Paddy,07-03-2024,2067.13
Anantapur,Paddy,08-03-2024,2117.24
Anantapur,Paddy,09-03-2024,2146.74
Anantapur,Paddy,10-03-2024,2123.81
Anantapur,Paddy,11-03-2024,2099.85
Anantapur,Paddy,12-03-2024,2081.6
Anantapur,Paddy,13-03-2024,2089.2
Anantapur,Paddy,14-03-2024,2071.24
Anantapur,Paddy,15-03-2024,2109.71
Anantapur,Paddy,16-03-2024,2073.71
Anantapur,Paddy,17-03-2024,2151.17
Anantapur,Paddy,18-03-2024,2145.24
Anantapur,Paddy,19-03-2024,2075.78
Anantapur,Paddy,20-03-2024,2085.55
Anantapur,Paddy,21-03-2024,2067.42
Anantapur,Paddy,22-03-2024,2096.31
Anantapur,Paddy,23-03-2024,2163.06
Anantapur,Paddy,24-03-2024,2119.73
Anantapur,Paddy,25-03-2024,2132.59
Anantapur,Paddy,26-03-2024,2079.56
Anantapur,Paddy,27-03-2024,2115.46
Anantapur,Paddy,28-03-2024,2160.08
Anantapur,Paddy,29-03-2024,2097.63
Anantapur,Paddy,30-03-2024,2098.88
Anantapur,Paddy,31-03-2024,2149.33
Anantapur,Paddy,01-04-2024,2168.65
Anantapur,Paddy,02-04-2024,2150.26
Anantapur,Paddy,03-04-2024,2128.73
Anantapur,Paddy,04-04-2024,2081.33
Anantapur,Paddy,05-04-2024,2149.51
Anantapur,Paddy,06-04-2024,2149.54
Anantapur,Paddy,07-04-2024,2129.96
Anantapur,Paddy,08-04-2024,2097.8
Anantapur,Paddy,09-04-2024,2131.99
Anantapur,Paddy,10-04-2024,2089.91
Anantapur,Paddy,11-04-2024,2092.05
Anantapur,Paddy,12-04-2024,2168.52
Anantapur,Paddy,13-04-2024,2114.41
Anantapur,Paddy,14-04-2024,2156.3
Anantapur,Paddy,15-04-2024,2156.93
