State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Andhra Pradesh,Anantapur,Tenakallu,Maize,Yellow,FAQ,24-12-2024,1800,2200,2000
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,24-12-2024,1500,2000,1700
Andhra Pradesh,Kurnool,Adoni,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,24-12-2024,3100,6380,6150
Andhra Pradesh,Kurnool,Adoni,Sunflower,Local,FAQ,24-12-2024,4632,4632,4632
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,24-12-2024,3630,4380,4005
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,FAQ,23/06/2025,1470,1870,1670
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Finger,FAQ,23/06/2025,5800,10525,10362
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,23/06/2025,2700,3200,2900
Andhra Pradesh,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,23/06/2025,2200,2300,2250
Andhra Pradesh,Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,FAQ,23/06/2025,2450,2850,2650
Andhra Pradesh,Kurnool,Kurnool,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,23/06/2025,1100,6697,5750
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,Non-FAQ,23/06/2025,5412,6100,5412
Andhra Pradesh,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),Non-FAQ,23/06/2025,2000,2000,2000
Andhra Pradesh,Kurnool,Nandyal,Paddy(Dhan)(Common),Sona Mahsuri,Non-FAQ,23/06/2025,2200,2200,2200
Andhra Pradesh,Anantapur,Kadiri,Maize,Yellow,FAQ,24-12-2024,1900,2200,2000
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,01-01-2023,4394,4615,4504
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,08-01-2023,1880,2310,2095
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,15-01-2023,2769,3241,3005
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,22-01-2023,4730,4981,4855
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,29-01-2023,1479,1887,1683
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,05-02-2023,2312,2705,2508
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,12-02-2023,3824,4200,4012
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,19-02-2023,2843,3256,3049
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,26-02-2023,1473,1808,1640
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,05-03-2023,4152,4310,4231
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,12-03-2023,3927,4214,4070
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,19-03-2023,2445,2734,2589
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,26-03-2023,4379,4529,4454
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,02-04-2023,3153,3496,3324
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,09-04-2023,4209,4615,4412
